season_Fall,season_Spring,season_Summer,season_Winter,Year,temperature,rollingavg3,rollingavg7
0,0,1,0,1981,17.4,16.333333333333332,16.585714285714285
0,0,1,0,1981,21.8,18.333333333333332,17.142857142857142
0,0,1,0,1981,20.0,19.733333333333334,17.314285714285713
0,0,1,0,1981,16.2,19.333333333333332,17.54285714285714
0,0,1,0,1981,13.3,16.5,17.185714285714287
0,0,1,0,1981,16.7,15.4,17.314285714285713
0,0,1,0,1981,21.5,17.166666666666668,18.128571428571426
0,0,1,0,1981,25.0,21.066666666666666,19.214285714285715
0,0,1,0,1981,20.7,22.400000000000002,19.057142857142857
0,0,1,0,1981,20.6,22.099999999999998,19.142857142857142
0,0,1,0,1981,24.8,22.03333333333333,20.37142857142857
0,0,1,0,1981,17.7,21.03333333333333,21.0
0,0,1,0,1981,15.5,19.333333333333332,20.82857142857143
0,0,1,0,1981,18.2,17.133333333333333,20.357142857142858
0,0,1,0,1981,12.1,15.266666666666667,18.514285714285712
0,0,1,0,1981,14.4,14.9,17.614285714285714
0,0,1,0,1981,16.0,14.166666666666666,16.95714285714286
0,0,1,0,1981,16.5,15.633333333333333,15.771428571428572
0,0,1,0,1981,18.7,17.066666666666666,15.914285714285715
0,0,1,0,1981,19.4,18.2,16.47142857142857
0,0,1,0,1981,17.2,18.433333333333334,16.32857142857143
0,0,1,0,1981,15.5,17.366666666666664,16.814285714285713
0,0,1,0,1981,15.1,15.933333333333335,16.914285714285715
0,0,1,0,1981,15.4,15.333333333333334,16.82857142857143
0,0,1,0,1981,15.3,15.266666666666666,16.657142857142855
0,0,1,0,1981,18.8,16.5,16.67142857142857
0,0,1,0,1981,21.9,18.666666666666668,17.02857142857143
0,0,1,0,1981,19.9,20.2,17.414285714285715
0,0,1,0,1981,16.6,19.466666666666665,17.571428571428573
0,0,1,0,1981,16.8,17.766666666666666,17.814285714285713
0,0,1,0,1981,14.6,16.0,17.7
0,0,1,0,1981,17.1,16.166666666666668,17.95714285714286
0,0,1,0,1981,25.0,18.900000000000002,18.842857142857145
0,0,1,0,1981,15.0,19.03333333333333,17.857142857142858
0,0,1,0,1981,13.7,17.9,16.97142857142857
0,0,1,0,1981,13.9,14.199999999999998,16.585714285714285
0,0,1,0,1981,18.3,15.299999999999999,16.8
0,0,1,0,1981,22.0,18.066666666666666,17.857142857142858
0,0,1,0,1981,22.1,20.8,18.571428571428573
0,0,1,0,1981,21.2,21.766666666666666,18.02857142857143
0,0,1,0,1981,18.4,20.566666666666666,18.514285714285712
0,0,1,0,1981,16.6,18.733333333333334,18.928571428571427
0,0,1,0,1981,16.1,17.03333333333333,19.242857142857144
0,0,1,0,1981,15.7,16.133333333333336,18.87142857142857
0,0,1,0,1981,16.6,16.133333333333336,18.099999999999998
0,0,1,0,1981,16.5,16.266666666666666,17.3
0,0,1,0,1981,14.4,15.833333333333334,16.32857142857143
0,0,1,0,1981,14.4,15.1,15.757142857142858
0,0,1,0,1981,18.5,15.766666666666666,16.02857142857143
0,0,1,0,1981,16.9,16.599999999999998,16.142857142857142
0,0,1,0,1981,17.5,17.63333333333333,16.4
0,0,1,0,1981,21.2,18.53333333333333,17.057142857142857
0,0,1,0,1981,17.8,18.833333333333332,17.242857142857144
0,0,1,0,1981,18.6,19.200000000000003,17.842857142857145
0,0,1,0,1981,17.0,17.8,18.214285714285715
0,0,1,0,1981,16.0,17.200000000000003,17.857142857142858
0,0,1,0,1981,13.3,15.433333333333332,17.342857142857145
0,0,1,0,1981,14.3,14.533333333333333,16.885714285714286
0,0,1,0,1981,11.4,13.0,15.485714285714286
0,0,1,0,1981,16.3,14.0,15.271428571428572
0,0,1,0,1981,16.1,14.600000000000001,14.914285714285715
0,0,1,0,1981,11.8,14.733333333333334,14.171428571428573
0,0,1,0,1981,12.2,13.366666666666667,13.62857142857143
0,0,1,0,1981,14.7,12.9,13.828571428571427
0,0,1,0,1981,11.8,12.9,13.471428571428573
0,0,1,0,1981,11.3,12.6,13.457142857142857
0,0,1,0,1981,10.6,11.233333333333334,12.642857142857142
0,0,1,0,1981,11.7,11.200000000000001,12.014285714285716
0,0,1,0,1981,14.2,12.166666666666666,12.357142857142858
0,0,1,0,1981,11.2,12.366666666666665,12.214285714285714
0,0,1,0,1981,16.9,14.1,12.528571428571428
0,0,1,0,1981,16.7,14.933333333333332,13.22857142857143
1,0,0,0,1981,8.1,13.899999999999999,12.77142857142857
1,0,0,0,1981,8.0,10.933333333333332,12.4
1,0,0,0,1981,8.8,8.299999999999999,11.985714285714284
1,0,0,0,1981,13.4,10.066666666666666,11.87142857142857
1,0,0,0,1981,10.9,11.033333333333333,11.828571428571431
1,0,0,0,1981,13.4,12.566666666666668,11.328571428571427
1,0,0,0,1981,11.0,11.766666666666666,10.514285714285714
1,0,0,0,1981,15.0,13.133333333333335,11.5
1,0,0,0,1981,15.7,13.9,12.6
1,0,0,0,1981,14.5,15.066666666666668,13.414285714285715
1,0,0,0,1981,15.8,15.333333333333334,13.757142857142856
1,0,0,0,1981,16.7,15.666666666666666,14.585714285714285
1,0,0,0,1981,16.8,16.433333333333334,15.071428571428571
1,0,0,0,1981,17.5,17.0,16.0
1,0,0,0,1981,17.1,17.133333333333336,16.3
1,0,0,0,1981,18.1,17.566666666666666,16.642857142857142
1,0,0,0,1981,16.6,17.26666666666667,16.942857142857143
1,0,0,0,1981,10.0,14.9,16.114285714285717
1,0,0,0,1981,14.9,13.833333333333334,15.857142857142858
1,0,0,0,1981,15.9,13.6,15.72857142857143
1,0,0,0,1981,13.0,14.6,15.085714285714287
1,0,0,0,1981,7.6,12.166666666666666,13.728571428571428
1,0,0,0,1981,11.5,10.700000000000001,12.785714285714286
1,0,0,0,1981,13.5,10.866666666666667,12.342857142857142
1,0,0,0,1981,13.0,12.666666666666666,12.77142857142857
1,0,0,0,1981,13.3,13.266666666666666,12.542857142857144
1,0,0,0,1981,12.1,12.799999999999999,12.0
1,0,0,0,1981,12.4,12.6,11.914285714285715
1,0,0,0,1981,13.2,12.566666666666668,12.714285714285714
1,0,0,0,1981,13.8,13.133333333333333,13.042857142857144
1,0,0,0,1981,10.6,12.533333333333333,12.62857142857143
1,0,0,0,1981,9.0,11.133333333333333,12.057142857142859
1,0,0,0,1981,10.0,9.866666666666667,11.585714285714285
1,0,0,0,1981,9.8,9.6,11.257142857142856
1,0,0,0,1981,11.5,10.433333333333334,11.128571428571428
1,0,0,0,1981,8.9,10.066666666666668,10.514285714285716
1,0,0,0,1981,7.4,9.266666666666667,9.6
1,0,0,0,1981,9.9,8.733333333333334,9.5
1,0,0,0,1981,9.3,8.866666666666667,9.542857142857143
1,0,0,0,1981,9.9,9.700000000000001,9.528571428571428
1,0,0,0,1981,7.4,8.866666666666667,9.185714285714287
1,0,0,0,1981,8.6,8.633333333333333,8.771428571428572
1,0,0,0,1981,11.9,9.299999999999999,9.200000000000001
1,0,0,0,1981,14.0,11.5,10.142857142857142
1,0,0,0,1981,8.6,11.5,9.957142857142857
1,0,0,0,1981,10.0,10.866666666666667,10.057142857142859
1,0,0,0,1981,13.5,10.700000000000001,10.571428571428571
1,0,0,0,1981,12.0,11.833333333333334,11.228571428571428
1,0,0,0,1981,10.5,12.0,11.5
1,0,0,0,1981,10.7,11.066666666666668,11.328571428571427
1,0,0,0,1981,8.1,9.766666666666666,10.485714285714284
1,0,0,0,1981,10.1,9.633333333333333,10.700000000000001
1,0,0,0,1981,10.6,9.6,10.785714285714286
1,0,0,0,1981,5.3,8.666666666666666,9.614285714285714
1,0,0,0,1981,6.6,7.5,8.842857142857143
1,0,0,0,1981,8.5,6.8,8.557142857142857
1,0,0,0,1981,11.2,8.766666666666666,8.62857142857143
1,0,0,0,1981,9.8,9.833333333333334,8.871428571428572
1,0,0,0,1981,5.9,8.966666666666667,8.27142857142857
1,0,0,0,1981,3.2,6.300000000000001,7.214285714285714
1,0,0,0,1981,2.1,3.7333333333333343,6.757142857142858
1,0,0,0,1981,3.4,2.900000000000001,6.3
1,0,0,0,1981,5.4,3.633333333333334,5.857142857142857
1,0,0,0,1981,9.6,6.133333333333334,5.628571428571429
1,0,0,0,1981,11.5,8.833333333333334,5.871428571428572
1,0,0,0,1981,12.3,11.133333333333335,6.785714285714286
1,0,0,0,1981,12.6,12.133333333333335,8.128571428571428
1,0,0,0,1981,11.0,11.966666666666669,9.4
1,0,0,0,1981,11.2,11.6,10.514285714285714
1,0,0,0,1981,11.4,11.200000000000001,11.37142857142857
1,0,0,0,1981,11.8,11.466666666666667,11.685714285714285
1,0,0,0,1981,12.8,12.000000000000002,11.87142857142857
1,0,0,0,1981,11.6,12.066666666666668,11.771428571428572
1,0,0,0,1981,10.6,11.666666666666666,11.485714285714284
1,0,0,0,1981,9.8,10.666666666666666,11.314285714285713
1,0,0,0,1981,11.2,10.533333333333333,11.314285714285715
1,0,0,0,1981,5.7,8.9,10.5
1,0,0,0,1981,7.1,8.0,9.828571428571427
1,0,0,0,1981,2.5,5.1000000000000005,8.357142857142858
1,0,0,0,1981,3.5,4.366666666666667,7.2
1,0,0,0,1981,4.6,3.5333333333333337,6.3428571428571425
1,0,0,0,1981,11.0,6.366666666666667,6.514285714285713
1,0,0,0,1981,5.7,7.1000000000000005,5.728571428571428
1,0,0,0,1981,7.7,8.133333333333335,6.014285714285714
1,0,0,0,1981,10.4,7.9333333333333345,6.485714285714286
1,0,0,0,1981,11.4,9.833333333333334,7.757142857142857
1,0,0,0,1981,9.2,10.333333333333334,8.571428571428571
1,0,0,0,1981,6.1,8.9,8.785714285714286
1,0,0,0,1981,2.7,6.0,7.6
1,0,0,0,1981,4.3,4.366666666666667,7.3999999999999995
1,0,0,0,1981,6.3,4.433333333333334,7.2
1,0,0,0,1981,3.8,4.800000000000001,6.257142857142857
0,0,0,1,1981,4.4,4.833333333333334,5.257142857142857
0,0,0,1,1981,7.1,5.1000000000000005,4.957142857142856
0,0,0,1,1981,4.8,5.433333333333334,4.771428571428571
0,0,0,1,1981,5.8,5.900000000000001,5.214285714285714
0,0,0,1,1981,6.2,5.6000000000000005,5.485714285714287
0,0,0,1,1981,7.3,6.433333333333334,5.628571428571428
0,0,0,1,1981,9.2,7.566666666666667,6.3999999999999995
0,0,0,1,1981,10.2,8.9,7.228571428571428
0,0,0,1,1981,9.5,9.633333333333333,7.571428571428571
0,0,0,1,1981,9.5,9.733333333333334,8.242857142857142
0,0,0,1,1981,10.7,9.9,8.942857142857141
0,0,0,1,1981,10.0,10.066666666666668,9.485714285714284
0,0,0,1,1981,6.5,9.066666666666668,9.37142857142857
0,0,0,1,1981,7.0,7.833333333333333,9.057142857142855
0,0,0,1,1981,7.4,6.966666666666668,8.657142857142857
0,0,0,1,1981,8.1,7.5,8.457142857142857
0,0,0,1,1981,6.6,7.366666666666667,8.042857142857143
